"10409る 4746 模             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/09/01","150,000","8,549,700","57.30","57.30","56.60","57.00","+0.40","83",
"104/09/02","163,000","9,335,200","56.50","58.40","56.00","57.90","+0.90","107",
"104/09/03","261,095","15,313,967","58.50","59.20","57.70","59.00","+1.10","191",
"104/09/04","182,000","10,637,500","59.00","59.20","57.50","58.90","-0.10","143",
"104/09/07","216,000","12,508,000","58.90","59.20","57.10","58.30","-0.60","136",
"104/09/08","136,085","7,826,987","58.30","58.30","57.00","57.50","-0.80","91",
"104/09/09","133,500","7,775,900","57.90","58.90","57.70","58.30","+0.80","110",
"104/09/10","171,050","9,906,290","58.30","58.60","57.20","57.30","-1.00","123",
"104/09/11","77,000","4,446,200","58.40","58.40","57.30","57.50","+0.20","59",
"104/09/14","101,000","5,858,000","58.00","58.50","57.50","58.50","+1.00","75",
"104/09/15","1,135,403","69,498,886","59.00","62.50","58.90","62.00","+3.50","725",
"104/09/16","817,000","50,878,200","62.40","62.80","61.40","61.80","-0.20","515",
"104/09/17","228,565","14,084,733","62.30","62.50","61.30","61.30","-0.50","186",
"104/09/18","428,270","26,496,331","61.30","62.70","61.10","61.90","+0.60","268",
"104/09/21","587,283","36,591,361","61.80","63.70","60.30","62.00","+0.10","358",
"104/09/22","339,973","21,158,426","63.30","63.30","61.60","62.20","+0.20","211",
"104/09/23","619,249","37,977,764","61.80","63.30","60.00","60.50","-1.70","375",
"104/09/24","547,127","32,011,802","60.30","61.60","57.80","57.90","-2.60","333",
"104/09/25","304,051","17,426,852","58.30","58.30","57.10","57.10","-0.80","194",
"104/09/30","149,681","8,545,952","57.10","57.60","56.50","57.30","+0.20","101",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

