"107年09月 4746 台耀             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/09/03","215,553","10,211,949","47.70","47.70","47.10","47.25","-0.50","129",
"107/09/04","228,821","10,885,624","47.30","47.95","47.25","47.60","+0.35","128",
"107/09/05","208,338","10,011,074","47.85","48.50","47.75","48.20","+0.60","172",
"107/09/06","701,200","34,279,290","48.20","49.45","48.20","48.70","+0.50","483",
"107/09/07","392,996","18,913,852","48.40","48.95","47.55","48.20","-0.50","281",
"107/09/10","366,145","17,298,116","48.40","48.40","47.00","47.05","-1.15","228",
"107/09/11","151,096","7,140,209","47.00","47.45","47.00","47.45","+0.40","103",
"107/09/12","165,006","7,824,644","47.50","47.90","47.15","47.25","-0.20","124",
"107/09/13","332,093","16,022,868","47.75","48.70","47.35","48.60","+1.35","267",
"107/09/14","428,338","20,960,193","49.30","49.30","48.50","48.70","+0.10","267",
"107/09/17","202,100","9,758,620","48.65","48.70","48.05","48.15","-0.55","149",
"107/09/18","168,200","8,125,200","48.35","48.45","48.15","48.35","+0.20","133",
"107/09/19","149,000","7,234,400","48.80","48.85","48.40","48.50","+0.15","115",
"107/09/20","150,579","7,319,363","48.60","49.00","48.25","48.25","-0.25","131",
"107/09/21","148,158","7,176,320","48.75","48.75","48.20","48.45","+0.20","99",
"107/09/25","96,000","4,664,550","48.70","48.75","48.40","48.60","+0.15","76",
"107/09/26","188,100","9,141,520","48.45","48.85","48.35","48.60"," 0.00","131",
"107/09/27","311,148","15,198,976","48.60","49.15","48.50","49.00","+0.40","220",
"107/09/28","218,718","10,680,656","49.50","49.50","48.40","48.50","-0.50","168",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

