"10412る 6452 眃ね-KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","1,163,470","452,112,590","391.50","393.00","384.00","390.00"," 0.00","1,011",
"104/12/02","2,507,904","964,967,308","392.00","397.50","374.00","375.00","-15.00","1,909",
"104/12/03","1,470,143","553,100,269","380.00","384.00","368.00","377.00","+2.00","1,232",
"104/12/04","1,795,397","701,894,815","381.50","397.00","380.50","396.00","+19.00","1,591",
"104/12/07","1,525,229","609,204,497","405.00","409.00","390.00","390.00","-6.00","1,347",
"104/12/08","1,057,105","406,704,950","391.00","392.00","380.50","385.00","-5.00","896",
"104/12/09","2,809,827","1,024,533,739","389.00","389.50","352.00","355.50","-29.50","1,929",
"104/12/10","1,467,648","534,339,193","369.00","369.50","354.00","364.50","+9.00","1,278",
"104/12/11","1,907,000","672,460,500","368.00","369.50","341.50","342.00","-22.50","1,586",
"104/12/14","1,639,418","565,432,890","329.00","354.00","329.00","352.00","+10.00","1,279",
"104/12/15","1,882,057","655,013,621","353.50","355.00","343.50","345.00","-7.00","1,087",
"104/12/16","1,629,211","580,258,460","350.00","366.00","348.00","356.00","+11.00","1,308",
"104/12/17","1,458,078","538,413,094","363.00","376.50","361.50","367.00","+11.00","1,324",
"104/12/18","785,100","287,656,949","368.00","371.50","362.50","364.50","-2.50","728",
"104/12/21","1,178,030","429,523,070","364.50","369.50","360.50","364.00","-0.50","605",
"104/12/22","1,162,066","433,908,014","369.00","381.00","367.00","381.00","+17.00","949",
"104/12/23","1,284,086","481,966,578","381.00","383.50","367.50","369.50","-11.50","1,059",
"104/12/24","1,545,070","558,488,340","372.50","375.00","350.00","358.00","-11.50","1,333",
"104/12/25","1,300,427","476,372,691","358.50","372.50","355.50","369.00","+11.00","1,062",
"104/12/28","801,110","291,308,710","364.50","369.00","358.00","358.50","-10.50","696",
"104/12/29","945,100","338,680,000","357.00","362.00","353.00","358.50"," 0.00","725",
"104/12/30","992,078","362,760,350","362.50","369.50","361.50","361.50","+3.00","839",
"104/12/31","523,110","189,669,260","362.00","366.00","358.00","363.00","+1.50","479",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

