"106年01月 6452 康友-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","358,102","151,129,646","428.00","428.50","418.00","419.50","-6.50","320",
"106/01/04","364,100","153,401,049","420.00","426.00","418.00","419.50"," 0.00","344",
"106/01/05","849,020","364,596,260","419.50","434.00","419.50","433.00","+13.50","717",
"106/01/06","480,090","206,830,200","434.00","435.50","425.00","428.00","-5.00","418",
"106/01/09","319,040","135,066,640","429.50","429.50","421.00","421.00","-7.00","271",
"106/01/10","241,535","102,005,852","422.50","426.00","418.00","426.00","+5.00","224",
"106/01/11","204,230","86,442,480","426.00","428.50","420.50","420.50","-5.50","182",
"106/01/12","421,080","176,578,199","420.00","424.00","413.00","424.00","+3.50","383",
"106/01/13","1,760,000","748,212,000","420.50","426.50","417.50","425.50","+1.50","1,633",
"106/01/16","490,050","211,232,700","426.50","434.50","426.50","430.00","+4.50","413",
"106/01/17","184,160","78,905,120","430.50","432.50","426.00","426.00","-4.00","178",
"106/01/18","285,090","122,275,150","429.00","432.00","425.00","430.50","+4.50","257",
"106/01/19","163,564","69,931,790","429.00","430.50","426.00","426.00","-4.50","167",
"106/01/20","315,160","135,478,940","428.00","434.50","426.00","426.00"," 0.00","287",
"106/01/23","233,142","99,635,691","427.50","430.50","426.00","426.00"," 0.00","210",
"106/01/24","355,150","152,601,750","429.00","433.50","424.00","433.00","+7.00","303",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

