"109年10月 6491 晶碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/10/05","634,337","133,736,792","202.00","216.50","202.00","216.00","+14.00","571",
"109/10/06","888,337","186,915,270","216.00","216.00","208.00","208.50","-7.50","758",
"109/10/07","1,286,652","260,697,528","208.00","211.50","199.00","202.00","-6.50","1,131",
"109/10/08","1,233,336","258,637,560","204.00","215.00","202.00","210.00","+8.00","1,055",
"109/10/12","365,465","75,797,755","211.50","213.00","204.00","206.50","-3.50","321",
"109/10/13","393,150","79,751,750","207.00","207.00","201.00","203.00","-3.50","349",
"109/10/14","364,500","75,406,249","203.50","209.00","203.00","207.00","+4.00","286",
"109/10/15","705,056","148,993,040","205.50","216.00","204.00","216.00","+9.00","552",
"109/10/16","1,755,725","381,976,600","214.50","222.00","212.00","217.00","+1.00","1,483",
"109/10/19","2,692,618","611,135,814","221.00","233.50","219.00","223.00","+6.00","2,190",
"109/10/20","4,067,854","951,700,544","222.00","240.00","222.00","236.50","+13.50","3,263",
"109/10/21","5,163,373","1,254,622,312","237.50","249.00","236.00","248.00","+11.50","4,236",
"109/10/22","2,237,283","547,245,637","248.00","251.50","238.50","239.00","-9.00","1,939",
"109/10/23","1,240,865","298,745,640","241.00","246.00","235.50","237.00","-2.00","1,046",
"109/10/26","859,581","201,812,013","238.00","240.00","231.00","233.00","-4.00","759",
"109/10/27","1,313,372","311,239,326","236.00","242.50","231.50","234.50","+1.50","1,174",
"109/10/28","434,355","102,315,085","238.00","238.00","232.50","237.00","+2.50","389",
"109/10/29","1,716,491","415,698,308","235.00","247.00","232.50","245.00","+8.00","1,494",
"109/10/30","4,019,237","1,027,029,822","245.50","266.00","243.00","255.00","+10.00","3,512",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

