"107年12月 6541 泰福-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/12/03","327,092","21,475,372","65.80","66.50","65.00","65.90","+1.20","216",
"107/12/04","294,100","19,184,600","65.60","66.30","64.80","64.80","-1.10","227",
"107/12/05","240,280","15,122,372","63.30","64.00","62.40","62.40","-2.40","199",
"107/12/06","327,188","19,929,074","62.70","62.70","60.00","60.10","-2.30","218",
"107/12/07","104,500","6,381,200","60.80","61.40","60.80","61.00","+0.90","86",
"107/12/10","124,083","7,463,088","60.90","61.60","59.50","59.50","-1.50","100",
"107/12/11","116,312","7,063,225","59.50","61.50","59.50","61.00","+1.50","94",
"107/12/12","74,100","4,538,530","61.50","61.70","61.00","61.10","+0.10","70",
"107/12/13","351,500","22,170,800","61.10","64.50","61.10","64.00","+2.90","291",
"107/12/14","275,000","17,608,700","64.70","64.70","63.20","64.10","+0.10","230",
"107/12/17","217,015","13,947,872","64.00","64.70","63.50","64.30","+0.20","195",
"107/12/18","181,896","11,517,488","64.00","64.20","62.60","62.60","-1.70","148",
"107/12/19","79,818","4,975,468","63.10","63.10","61.80","62.80","+0.20","75",
"107/12/20","132,244","8,138,606","62.80","63.10","60.20","61.20","-1.60","103",
"107/12/21","80,300","4,915,700","60.60","61.80","60.60","61.20"," 0.00","64",
"107/12/22","18,000","1,096,900","60.60","61.20","60.60","60.90","-0.30","17",
"107/12/24","48,500","2,978,750","61.40","61.90","61.10","61.10","+0.20","39",
"107/12/25","184,672","11,037,720","60.30","60.30","59.20","60.00","-1.10","143",
"107/12/26","106,310","6,361,413","60.20","61.20","59.00","59.00","-1.00","99",
"107/12/27","157,000","9,514,000","60.10","61.60","60.00","60.30","+1.30","119",
"107/12/28","453,000","28,167,700","60.90","63.50","60.30","62.50","+2.20","353",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

