"109年08月 6598 ABC-KY           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/08/03","1,921,881","208,922,172","105.50","112.00","103.00","112.00","+10.00","1,408",
"109/08/04","1,676,909","182,940,308","109.00","112.00","106.50","110.50","-1.50","1,344",
"109/08/05","2,679,021","310,166,478","111.00","121.00","109.00","117.50","+7.00","1,993",
"109/08/06","2,753,280","337,341,798","123.50","125.00","119.50","120.00","+2.50","2,159",
"109/08/07","1,655,100","194,920,200","120.00","121.50","115.00","116.00","-4.00","1,303",
"109/08/10","1,256,802","142,963,324","117.00","117.50","110.50","111.00","-5.00","932",
"109/08/11","1,803,556","188,096,324","111.50","112.00","100.00","101.00","-10.00","1,458",
"109/08/12","1,175,894","122,012,970","100.00","107.00","99.50","103.50","+2.50","932",
"109/08/13","797,000","81,034,600","105.00","105.50","99.90","100.50","-3.00","701",
"109/08/14","756,606","75,630,308","99.90","102.00","98.00","100.50"," 0.00","670",
"109/08/17","417,635","41,820,167","101.50","102.00","99.60","99.80","-0.70","378",
"109/08/18","1,899,158","203,261,800","101.00","109.50","101.00","109.50","+9.70","1,293",
"109/08/19","3,165,227","374,204,740","114.00","120.00","113.50","120.00","+10.50","2,159",
"109/08/20","7,519,098","952,499,436","122.50","132.00","116.00","132.00","+12.00","5,423",
"109/08/21","5,171,153","690,231,570","130.50","142.50","126.00","134.00","+2.00","3,997",
"109/08/24","2,407,905","324,936,815","132.00","139.50","129.50","133.50","-0.50","1,896",
"109/08/25","2,379,154","306,375,442","133.50","133.50","124.50","128.50","-5.00","1,818",
"109/08/26","1,661,080","218,005,100","128.00","133.50","127.50","131.50","+3.00","1,336",
"109/08/27","1,203,065","159,617,645","134.00","136.50","130.00","131.50"," 0.00","988",
"109/08/28","1,667,990","212,950,700","131.50","131.50","125.50","127.00","-4.50","1,254",
"109/08/31","2,874,427","387,459,564","129.00","139.50","127.00","139.50","+12.50","2,064",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

