"108年07月 6666 羅麗芬-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/07/01","476,440","93,791,958","198.50","198.50","195.00","196.00","+2.00","416",
"108/07/02","741,651","149,848,804","195.50","204.50","194.00","202.00","+6.00","672",
"108/07/03","740,305","151,544,067","203.50","209.00","200.50","202.50","+0.50","670",
"108/07/04","233,100","47,346,000","203.00","205.00","201.50","203.00","+0.50","210",
"108/07/05","224,015","45,897,612","205.00","207.50","203.00","203.50","+0.50","212",
"108/07/08","1,472,319","313,781,291","207.00","222.00","204.50","221.50","+18.00","1,289",
"108/07/09","1,327,764","299,636,636","220.00","232.50","219.00","222.00","+0.50","1,201",
"108/07/10","954,887","213,097,510","227.50","227.50","217.50","227.00","+5.00","808",
"108/07/11","1,299,052","261,952,796","204.00","208.00","197.00","198.00","X0.00","1,148",
"108/07/12","361,050","71,796,900","197.50","202.00","196.50","197.50","-0.50","343",
"108/07/15","304,416","60,271,491","200.00","200.00","196.00","198.00","+0.50","277",
"108/07/16","191,665","37,829,501","199.50","199.50","196.50","197.00","-1.00","184",
"108/07/17","702,187","140,938,087","197.00","204.50","196.50","200.00","+3.00","588",
"108/07/18","1,039,963","214,514,656","203.50","210.00","201.00","210.00","+10.00","944",
"108/07/19","884,598","187,599,570","212.00","216.00","208.00","212.50","+2.50","813",
"108/07/22","779,800","163,224,600","213.00","216.00","206.00","208.00","-4.50","686",
"108/07/23","409,053","84,204,077","211.00","211.00","202.50","204.00","-4.00","379",
"108/07/24","298,347","60,591,614","206.00","206.50","201.00","203.00","-1.00","277",
"108/07/25","459,630","91,615,000","203.50","203.50","197.00","198.00","-5.00","424",
"108/07/26","308,022","61,758,444","199.00","204.00","198.00","199.00","+1.00","288",
"108/07/29","122,500","24,203,500","199.00","199.50","196.50","196.50","-2.50","116",
"108/07/30","431,190","82,451,550","197.50","198.50","187.00","190.50","-6.00","397",
"108/07/31","164,630","31,605,220","191.50","194.00","188.50","193.50","+3.00","151",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

