國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode
TW0001101004,1101,台泥,上市 ,股票,水泥工業,1962/02/09,ESVUFR
TW0001102002,1102,亞泥,上市 ,股票,水泥工業,1962/06/08,ESVUFR
TW0001103000,1103,嘉泥,上市 ,股票,水泥工業,1969/11/14,ESVUFR
TW0001104008,1104,環泥,上市 ,股票,水泥工業,1971/02/01,ESVUFR
TW0001108009,1108,幸福,上市 ,股票,水泥工業,1990/06/06,ESVUFR
TW0001109007,1109,信大,上市 ,股票,水泥工業,1991/12/05,ESVUFR
TW0001110005,1110,東泥,上市 ,股票,水泥工業,1994/10/22,ESVUFR
TW0001201002,1201,味全,上市 ,股票,食品工業,1962/02/09,ESVUFR
TW0001203008,1203,味王,上市 ,股票,食品工業,1964/08/24,ESVUFR
TW0001210003,1210,大成,上市 ,股票,食品工業,1978/05/20,ESVUFR
TW0001213007,1213,大飲,上市 ,股票,食品工業,1981/04/10,ESVUFR
TW0001215002,1215,卜蜂,上市 ,股票,食品工業,1987/07/27,ESVUFR
TW0001216000,1216,統一,上市 ,股票,食品工業,1987/12/28,ESVUFR
TW0001217008,1217,愛之味,上市 ,股票,食品工業,1989/10/28,ESVUFR
TW0001218006,1218,泰山,上市 ,股票,食品工業,1989/11/11,ESVUFR
TW0001219004,1219,福壽,上市 ,股票,食品工業,1990/12/01,ESVUFR
TW0001220002,1220,台榮,上市 ,股票,食品工業,1991/11/20,ESVUFR
TW0001225001,1225,福懋油,上市 ,股票,食品工業,1993/09/27,ESVUFR
TW0001227007,1227,佳格,上市 ,股票,食品工業,1994/04/09,ESVUFR
TW0001229003,1229,聯華,上市 ,股票,食品工業,1976/07/19,ESVUFR
TW0001231009,1231,聯華食,上市 ,股票,食品工業,1995/11/02,ESVUFR
TW0001232007,1232,大統益,上市 ,股票,食品工業,1996/02/09,ESVUFR
TW0001233005,1233,天仁,上市 ,股票,食品工業,1999/01/20,ESVUFR
TW0001234003,1234,黑松,上市 ,股票,食品工業,1999/03/12,ESVUFR
TW0001235000,1235,興泰,上市 ,股票,食品工業,2000/09/11,ESVUFR
TW0001236008,1236,宏亞,上市 ,股票,食品工業,2001/09/17,ESVUFR
KYG858681003,1256,鮮活果汁-KY,上市 ,股票,食品工業,2016/03/17,ESVUFR
TW0001301000,1301,台塑,上市 ,股票,塑膠工業,1964/07/27,ESVUFR
