下的關鍵字,時間,網址,新聞標題,內容
新冠肺炎,2021-01-11 06:10:00,https://news.cnyes.com/news/id/4559074,〈台股盤前要聞〉半導體封測迎大好年、遊戲廠多角化經營 今日必看財經新聞,台股盤前要聞共有六大重點，包括半導體封測業者近期與客戶簽訂產能保障協議，成為漲價後的新動能；遊戲廠面臨代理變數多，只能積極尋求經營多角化；台新冠疫苗廠啟動二期試驗，產能將成最大挑戰。以下是今 (11) 日必看重要財經新聞。 半導體業需求火熱，不僅上游晶圓代工產能滿載，下游測試、封裝產能同樣供不應求，除了取消淡季價格折讓，價格也紛紛上調，近期封測業者為確保擴產效益回收，更與客戶簽訂產能保障協議，成為漲價後的新動能。閱讀全文...隨著自製手遊開發、推廣成本提高，加上遊戲原廠紛紛將大型 IP 手遊代理權收回自營，擠壓台廠生存空間，國內遊戲廠如智冠 (5478-TW)、橘子 (6180-TW) 等，利用自身資源優勢，跨入如金流、廣告行銷、電商、美術外包等領域，延伸業務觸角與擴大營運版圖，藉由多角化經營創造穩定的營收來源。閱讀全文...台灣新冠疫苗研發跟隨國際腳步進入二期試驗，不過隨著變種病毒擴散，台灣要達到群體免疫，疫苗施打涵蓋率將從 60% 提升到 65%，多出百萬劑，但台疫苗廠產能面臨吃緊，產能供應將成最大挑戰。閱讀全文...隨著 5G 商機起飛、電動車以及車用電子蓬勃發展，不僅將帶動被動元件用量激增，在高頻、高電壓的運作環境下，對被動元件功率要求也將提升，業者認為，被動元件已經擺脫產能過剩的供給魔咒，議價上相較過往也有較大的空間。閱讀全文...鑄件大廠永冠 - KY(1589-TW) 去年出貨噸數達到 17.6 萬噸，優於原先預期，永冠 - KY 看好，在新客戶及再生能源市場需求成長帶動下，目標全年出貨噸數達 18.5-19.5 萬噸，相當於成長 5-10%。閱讀全文...聯電 (2303-TW) 竹科力行廠區 9 日下午傳出跳電意外，財務長劉啟東證實 8 吋廠區發生跳電意外，已啟動不斷電系統，待完全復電才會恢復生產，預估將損失半天的一小部分產能，微幅影響營運。由於目前 8 吋產能持續供不應求，此次意外料將使供給吃緊情況更嚴峻。閱讀全文..
新冠肺炎,2021-01-10 13:33:00,https://news.cnyes.com/news/id/4559046,〈觀察〉台新冠疫苗啟動二期試驗 產能將成最大挑戰,台灣新冠疫苗研發跟隨國際腳步進入二期試驗，不過隨著變種病毒擴散，台灣要達到群體免疫，疫苗施打涵蓋率將從 60% 提升到 65%，多出百萬劑，但台疫苗廠產能面臨吃緊，產能供應將成最大挑戰。去年底英國出現變種病毒株，傳染力較之前的病毒強 4 成以上，最高上看 7 成；美國白宮防疫小組警告，美國可能出現本土變種病毒株，並在社區擴散，加上美國已有 8 個州驗出變種病毒，導致疫情蔓延加速，此外，近期台灣境外移入陸續傳出有變種病毒，防護措施已是當務之急。國際藥廠開發的新冠疫苗已在多個國家開始施打，台灣方面，政府採雙軌並進，除扶植國內疫苗，也向國際採購，預計 3 月引進約 2000 萬劑，擬優先施打醫事人員、軍警、長期照護機構受照顧者、照顧者及 65 歲以上長者等。目前新冠疫苗約需施打兩針才具有效果，以台灣 2300 萬人計算，過去要達到群體免疫，施打涵蓋率約 60%、約需 2760 萬劑，不過隨著變種病毒擴散，業界認為，施打涵蓋率須提升至 65%，至少需要再多出約 230 萬劑。台灣新冠疫苗研發進度大有斬獲，高端疫苗與美國國衛院 (NIH) 合作研發的新冠疫苗已啟動臨床二期，預計收案人數至少 3700 人，拚 3 個月內完成收案，目標今年中申請緊急使用授權 (EUA)。隨著疫苗開發進展順利，但除須供應國內疫苗外，業者也著眼海外龐大市場需求，儘管政府已向國際採購千萬劑疫苗，但仍無法達到全體免疫效果，再者，單一台疫苗廠最快今年中產能可拉升至 300 萬劑，加上疫苗廠尚有其他適應症疫苗即將量產上市，產能面臨吃緊，未來新冠疫苗上市後，可能出現供不應求狀況
新冠肺炎,2021-01-09 12:58:00,https://news.cnyes.com/news/id/4558715,〈熱門股〉懷特兩項新藥開發報捷 股價寫近4個月新高,美吾華 (1731-TW) 集團旗下懷特生醫 (4108-TW) 旗下兩款新藥今年將有大幅進展，有助今年營運挑戰虧轉盈，激勵本周股價走強，周五 (8 日) 一度觸及漲停價 30.9 元，周漲 12.85%，寫近 4 個月新高。懷特共有兩項新藥備受矚目，分別為治療癌因性疲憊症針劑的懷特血寶與口服止痛新藥痛寶，其中懷特血寶目前以國內自費市場為主，單支售價為 12650 元，該產品有望本季通過健保藥價，後續醫生較願意推廣給病患，出貨量有望進一步擴大。懷特血寶則投入對新冠肺炎重症患者產生的細胞激素風暴進行治療，與癌症免疫療法等適應症，其中，新冠治療方面，懷特血寶主要適應症為血小板低下紫斑症，並完成人體二期臨床試驗，據數據結果顯示，該新藥可提高體內免疫細胞活性、並殺去除癌細胞，預期血寶凍晶注射劑有望能抑制細胞激素風暴。懷特表示，目前正在開發的新冠新藥多為口服用藥，不過重症患者幾乎住在加護病房，且必須依賴呼吸器，難以使用口服藥品，血寶為針劑產品有助未來臨床試驗開發，預計本季向美國 FDA 送件申請臨床試驗，最快下季啟動收案 100 人。懷特尚有 2 款新藥，分別為治療糖尿病腎臟病變的懷特糖寶，以及治療骨質疏鬆的懷特骨寶，均已獲美國 FDA 核准進行二期臨床試驗，也正積極洽談國際授權
新冠肺炎,2021-01-09 06:02:00,https://news.cnyes.com/news/id/4558791,〈美股盤後〉美股盤中驚跌 拜登發言救市 三大指數續寫新高紀錄,儘管非農就業報告創去年 4 月以來最糟，週五 (8 日) 華爾街預期該數據將刺激更大型紓困計畫將出台，美股早盤續衝盤中新高。然而，盤中時段傳出，即將全面執政的民主黨正面臨黨內分歧，民主黨參議員曼欽堅決反對發放 2，000 美元紓困支票，呼籲優先讓民眾接種疫苗、提高就業率。由於民主黨和共和黨在參院各佔 50 席的情況下，曼欽發言意味著更大型刺激計畫恐受阻，美股道瓊盤中轉跌逾 200 點。當選總統拜登隨後恢復更大型刺激法案的希望，他表示正計畫推出新一輪數兆美元紓困計畫，將使美國人的紓困金增至 2，000 美元，並擴大失業保險範圍，向市政府和州政府提供數十億美元的援助，以促進經濟增長。終場美股三大指數齊刷歷史新高，僅費半收黑。此外，週五美國總統川普推文表示，他不打算參加當選總統拜登的 1 月 20 日就職典禮，拜登回應，川普是最無能的總統之一，川普不出席是他與川普少有的共識之一。全球新冠肺炎 (COVID-19) 疫情持續發燒，截稿前，據美國約翰霍普金斯大學 (Johns Hopkins University) 即時統計，全球確診數已飆破 8765 萬例，死亡數突破 189 萬例，美國累計確診超過 2，141 萬例，累計死亡數超過 36，2 萬。週五 (8 日) 美股四大指數表現：標普 11 個主要板塊有 4 大板塊收黑，非必需消費品、房地產和公用事業板塊領漲，材料、工業、金融板塊領跌。焦點個股科技五大天王僅臉書收黑。蘋果 (AAPL-US) 上漲 0.86%；臉書 (FB-US) 下跌 0.44%；Alphabet (GOOGL-US) 上漲 1.32%；亞馬遜 (AMZN-US) 上漲 0.65%；微軟 (MSFT-US) 上漲 0.61%。道瓊成分股漲跌互見。可口可樂 (KO-US) 上漲 2.24%；安進 (AMGN-US) 上漲 1.91%；Salesforce (CRM-US) 上漲 1.86%；麥當勞 (MCD-US)  上漲 1.84%；3M (MMM-US) 下跌 1.83%。費半成分股表現不佳。英特爾 (INTC-US) 下跌 1.03%；高通 (QCOM-US) 上漲 0.60%；AMD (AMD-US) 下跌 0.61%；NVIDIA (NVDA-US) 下跌 0.50%；美光 (MU-US) 下跌 2.14%。台股 ADR 多收低。台積電 ADR (TSM-US) 下跌 2.26%；聯電 ADR (UMC-US) 下跌 0.93%；日月光 ADR (ASX-US) 下跌 1.37%；中華電信 ADR (CHT-US) 上漲 1.62%。個股消息蘋果 (AAPL-US) 上漲 0.86% 至每股 132.05 美元。蘋果週五利多消息不斷。CNBC 分析數據顯示，蘋果 App Store 應用商店 2020 年總營收超過 640 億美元，較 2019 年成長 28%。此前，數據調查公司 Sensor Tower 稱，App Store 在 2020 年營收可能高達 723 億美元。新冠疫情使人們轉向遠距工作和使用筆電率大增，摩根士丹利看好蘋果將成為 PC 市場的主要受益者。南韓現代汽車 (HYUNDAI MOTOR) 週五與蘋果造車成熱門消息，但該公司「改口不提蘋果」，數度調整聲明措辭，現代稱已收到「多家公司」在 (電動) 汽車研發方面進行潛在合作的要求，由於討論尚處於初期階段，目前還沒有任何決定。特斯拉空頭陣營持續縮減，投資機構 Evercore ISI 週五也退出空軍陣營，將特斯拉股票評級從「賣出」上調至「持有」，特斯拉週五股價飆漲 7.84% 至每股 880.02 美元，逼近 900 美元，創下歷史新高。百度 (BIDU-US) 上漲 15.57% 至每股 240.25 美元。該公司計畫與吉利汽車成立合資公司，聯手打造電動汽車。英國競爭和市場管理局 (CMA) 週五宣布調查 Google Chrome 移除第三方 cookie 的計劃，認為這可能轉益於 Google 廣告業務，犧牲其競爭對手的利益。美光 (MU-US) 盤中一度創出 20 年來的新高，終場其股價下跌 2.14%。該公司週四盤後發布最新財報、財測皆優於預期，主因遠距工作和近期 5G 採用率上升，都提高市場對美光晶片的需求。光學元件製造商 Acacia Communications (ACIA-US) 以「尚未及時獲得中國批准」為由，終止與美國網路設備大廠思科 (CSCO-US) 的合併協議，思科對取消交易的權利提出異議，思科上漲 0.22%，Acacia 上漲 9.87%。高盛傳出計畫出售 3800 萬股 Uber (UBER-US) 股份，Uber 下跌 5.09%。德意志銀行上調美國鋼鐵股價評級至「買入」，該行分析師認為，鑑於成本已基本得到控制，美國鋼鐵 (X-US) 對當前鋼價上漲具有更大的槓桿作用，美國鋼鐵上漲 8.84%。經濟數據華爾街分析Grant Thornton 首席經濟學家 Diane Swonk 表示，這是一份受到新冠影響的非農就業報告，失業主要集中在餐館、酒吧和教育領域，隨著疫情升溫， 已開放的學校不得不再次停校，大學也開始遠距教學了。聯準會副主席克拉里達 (Richard Clarida) 表示，美國經濟將迎來令人印象深刻的一年，經濟將走向復甦，但他不希望 Fed 從今年開始縮減資產購買規模。經濟學家認為，預計在刺激性支出的影響，及隨著疫苗接種增加和疫情改善，未來就業機會將大大增加。BoyarValue 總經理 Jonathan Boyar 稱，拜登今天提到更多的刺激計畫，如果能愈早看到兩黨以建設性方式共同行動愈好。老牌外匯經紀商 Oanda 高級市場分析師 Edward Moya 表示，市場對刺激措施的時間和力度細微調整是如此敏感，這令人感到訝異，市場將開始消化拜登政府更大規模的經濟紓困計畫，這將持續成為推動股市上漲的因素
新冠肺炎,2021-01-08 12:38:00,https://news.cnyes.com/news/id/4557672,〈長聖轉上櫃〉新冠新藥美國授權談判進入尾聲 目標本季定案,細胞治療廠長聖 (6172-TW) 旗下新藥異體臍帶間質幹細胞 (UMSC01)，開發出三大適應症，包括急性心肌梗塞、急性缺血性腦中風與新冠肺炎，且 UMSC01 正與國際藥廠洽談美國授權，目前談判已進入尾聲，目標本季定案。長聖表示，UMSC01 打入體內靜脈後，藥物會累積在肺部裡，同時將修復受損的肺部細胞，並獲得醫藥品查驗中心 (CDE) 認可，將 UMSC01 視為治療新冠病毒的潛力藥物。由於該新藥較適用重症患者，而台灣尚無相關病例，因此獲得衛服部類似專案方式的恩慈療法，治療新冠肺炎患者。長聖指出，UMSC01 已在去年 8 月通過美國 FDA 核准啟用臨床一 / 二期試驗，但目前尚未啟動收案，而是尋找國際藥廠談論合作，目前合作授權案已接近尾聲，目標本季有望定案，未來不排除成立合資公司，由合作夥伴負責美國臨床試驗、長聖負責台灣臨床試驗。其他新藥適應症方面，治療急性心肌梗塞已收案完畢，目前 8 位患者療效與安全性追蹤中，今年 8 月完成最後一位病患追蹤；治療急性缺血性腦中風已獲得美國、台灣核准執行臨床一期試驗，同時開始招募、施打幹細胞於腦中風病患
新冠肺炎,2021-01-07 18:52:00,https://news.cnyes.com/news/id/4557324,鈺齊-KY 12月營收14.7億元改寫歷史新高 月增64%,製鞋廠鈺齊 - KY(9802-TW) 今 (7) 日公布 2020 年 12 月營收，以 14.7 億元改寫歷史新高，月增 64.62%，年增 0.98%，2020 年全年營收 113.46 億元，為歷史次高，年減 11.66%，鈺齊 - KY 營收已連續四年維持百億元以上。鈺齊 - KY 2020 年第四季營收為 29.79 億元，季減 7.7%，年減 13.92%。鈺齊 - KY 主管指出，第四季雖然仍受貨櫃不足而影響國際交通運輸時程，但是在客製化的訂單生產模式下，各品牌客戶仍持續積極拉貨，以因應各地區經銷商提貨需求，因此短期雖仍存有運輸遞延現象，但終將不影響 2021 年春夏鞋款的整體出貨表現，也不會影響整體秋冬季量產訂單鈺齊 - KY 主管指出，因為新冠肺炎疫情加速人們改變生活步調及消費習性，也更深刻體認到經濟發展與健康生活必需平衡兼顧，因此在健康意識抬頭及追求品味生活之下，全球運動休閒已成風氣，如登山健走、越野跑步、自行車、健身、各項球類運動等，也從追求快時尚，轉化成更為重視功能性、舒適性與整體穿搭性。鈺齊 - KY2020 年前三季稅後純益為 7.11 億元，年減 21.7%，每股純益為 4.06 元
新冠肺炎,2021-01-07 12:50:00,https://news.cnyes.com/news/id/4556902,原油價格坐5望6？高盛：今年有望先蹲後跳,受惠於沙烏地阿拉伯自願減產以及美國原油庫存大減，國際油價本週突破 50 美元整數關卡，高盛認為，由於疫情陰霾尚未散去，短期間原油漲勢將受限，不過，第二季原油可能供不應求，今年油價上看 65 美元。OPEC+ 本週宣布產油國將維持穩定產量，沙烏地阿拉伯週二也宣布自願將 2、 3 月原油日產量額外減少 100 萬桶，再加上美國原油庫存大減，本週以來原油累計上漲逾 5% ，截至截稿前 12 時許，布蘭特原油期貨報價為每桶 54.7 美元。 然而，目前原油仍受到疫情不確定性影響，目前許多國家出現變異病毒確診案例，需求前景有壓，而供給面還要考量到沙烏地阿拉伯和俄羅斯是否願意同意 OPEC + 的減產協議。原油要在今年回到疫情前的價位恐怕非常困難，路透社上月對分析師進行調查顯示，華爾街普遍預期布蘭特原油「今年僅小幅上漲至每桶 50 美元以上」。高盛能源分析團隊週三發布報告表示：「 OPEC+ 協議有提高供給量的可能，而沙烏地阿拉伯的決定則可能反映出疫情升溫正造成需求減弱。」  高盛說，由於沙烏地阿拉伯承諾出面平衡市場，因此原油下跌空間相對有限，不過潛在減產幅度可能超過實際需求，因此第二季可能會面臨供需緊繃的風險。此外，高盛認為，隨著天氣回溫和疫苗普及，需求也將在 3 月份開始反彈，屆時供給面要提高產量還需要時間，預計 4 月到 7 月期間，每天會有 130 萬桶的原油短缺，供不應求的狀況有機會在未來幾週內支持油價上揚。因此，高盛表示，直到今年年底，原油價格將達到每桶 65 美元的強勁水平，仍遠高於市場預期和共識預期。PVM Oil Associates 的 Stephen Brennock 週三也認為，原油價格在上半年漲勢應該會受到限制。他預計隨著全球疫苗接種普及後，原油供給狀況將逐漸緊繃，為原油價格回升奠定基礎。然而，他也警告，在此之前，預計原油市場還會經歷一些波動
新冠肺炎,2021-01-06 19:38:00,https://news.cnyes.com/news/id/4556856,懷特兩項新藥研發有進展 今年營運挑戰轉盈,懷特 (4108-TW) 旗下兩項新藥今年將有所進展，包含治療癌陰性疲憊症針劑的懷特血寶，本季目標通過健保給付，還有口服止痛新藥痛寶，有四個國際藥廠正在談授權，看好新藥納入健保及授權金挹注下，今年營運挑戰虧轉盈。懷特血寶方面，總經理鄭建新指出，癌陰性疲憊症是癌症病人最常見的副作用之一，也是目前全球唯一的處方新藥，懷特血寶自 2010 年取得藥證後，至今已被近 70 家醫學中心、醫療院所採用，治療逾 7000 名癌症患者。副董事長李伊伶補充，據統計，約有 9 成癌症病患都會出現癌陰性疲憊症，其中逾 8 成病患想透過藥物改善，光是台灣市場規模就超過 10 億元，目前懷特血寶以自費市場為主，單支售價為 12650 元，通常 3 針就會見到效果，預期本季若順利通過健保藥價，醫生較願意推廣給病患，出貨量有望進一步擴大。海外市場方面，鄭建新表示，由於海外地區尚未取得藥證，但當地有藥物需求，目前是透過專案的方式銷售至韓國、歐盟國家，至今銷售量已超過 300 支，未來 2-3 年將陸續申請海外藥證。鄭建新表示，懷特血寶也正擴大新適應症，包括新冠肺炎治療和癌症免疫療法，其中，新冠病毒引起的細胞激素風暴為致死原因之一，預計本季向美國 FDA 送件申請臨床試驗，最快下季啟動收案 100 人，並於 2022 年第 3 季透過緊急使用授權方式完成新藥查驗登記申請。懷特血寶癌症免疫療法則規劃多國多中心的二 / 三期臨床試驗，預計 2024 年第 4 季完成，2025 年第 1 季完成新藥查驗登記 (NDA) 申請，同步申請美國、中國、台灣上市許可證，搶攻全球近 500 億美元市場商機。懷特痛寶是全球唯一口服納布啡口服新劑型新藥，鄭建新表示，懷特痛寶目前已有 4 家國際藥廠正在洽談授權，有望今年定案，進軍全球近 400 億美元止痛藥品市場。懷特尚有 2 款新藥，分別為治療糖尿病腎臟病變的懷特糖寶，以及治療骨質疏鬆的懷特骨寶，均已獲美國 FDA 核准進行二期臨床試驗，也正積極洽談國際授權
新冠肺炎,2021-01-05 06:13:00,https://news.cnyes.com/news/id/4556039,〈美股盤後〉2021開局VIX驚漲 道瓊跌逾380點,週一 (4 日) 新冠變種病毒持續全球傳播、政治不確定性仍在，美國新冠肺炎住院人數創下新高，黃金上漲、美元近乎持平、恐慌指數 VIX 暴漲逾 16%。儘管早盤美股主指短暫衝高，蘋果、亞馬遜、波音領跌，美股四大指數集體收黑，道瓊一度暴跌逾 700 點，終場收黑逾 380 點，標普收跌逾 1.4%，創去年 10 月 28 日來最大的單日拋售，那指創下去年 12 月 9 日來最差單日表現。美國喬治亞州在週一將舉行參院 2 席的最終決選，參議院中共和黨和民主黨各取得 50 和 48 席。若民主黨拿下最後 2 席，兩黨席位將成平手，屆時副總統當選人賀錦麗能投下關鍵票，讓民主黨成為參院多數黨。芝加哥聯準銀行總裁伊凡斯 (Charles Evans) 稱，新冠疫苗可能會控制全球疫情，但聯準會 (Fed) 距離結束超超寬鬆貨幣政策尚遙遙無期。Fed 主席鮑爾去年底曾表示，大多數聯準會官員認為美國直到 2023 年之後才會升息。全球新冠肺炎 (COVID-19) 疫情持續發燒，截稿前，據美國約翰霍普金斯大學 (Johns Hopkins University) 即時統計，全球確診數已飆破 8549 萬例，死亡數突破 184 萬例，美國累計確診超過 2073 萬例，累計死亡數超過 35.2 萬。全球歐洲、美洲、亞洲、非洲皆傳出變種病毒，英國第四級防疫警戒區擴大、黎巴嫩、蘇格蘭重新封鎖、德國延長封鎖措施、日本擬發布東京緊急狀態、南韓禁止逾 4 人私人聚會、英國宣布推遲第二劑疫苗的注射。週一 (4 日) 美股四大指數表現：焦點個股科技五大天王一片血染。蘋果 (AAPL-US) 下跌 2.47%；臉書 (FB-US) 下跌 1.54%；Alphabet (GOOGL-US) 下跌 1.51%；亞馬遜 (AMZN-US) 下跌 2.16%；微軟 (MSFT-US) 下跌 2.13%。道瓊成分股以波音領跌。波音 (BA-US) 下跌 5.30%；沃爾格林聯合博姿 (WBA-US) 上漲 3.81%；可口可樂 (KO-US) 下跌 3.79%；旅行家 (TRV-US) 下跌 3.36%；陶氏化學 (DOW-US) 下跌 2.63%。費半成分股漲跌互見。高通 (QCOM-US) 下跌 2.52%；AMD (AMD-US) 上漲 0.64%；NVIDIA (NVDA-US) 上漲 0.45%；美光 (MU-US) 下跌 1.50%；應用材料 (AMAT-US) 上漲 0.66%。台股 ADR 僅聯電收黑。台積電 ADR (TSM-US) 上漲 2.44%；聯電 ADR (UMC-US) 下跌 4.93%；日月光 ADR (ASX-US) 上漲 2.23%；中華電信 ADR (CHT-US) 上漲 0.54%。個股消息法人預期，台積電 2021 年的資本支出將達到 200 到 220 億美元的高峰，台積電股價創新高，台積電 ADR (TSM-US) 上漲 2.44% 至每股 111.70 美元，續刷歷史新高。特斯拉 (TSLA-US) 週一上漲 3.42% 至每股 729.77 美元，創下歷史新高紀錄，並且連續八個交易日收紅。特斯拉上季與去年全年交車量都創新高。中概股退市潮強襲，紐約證交所宣布本週四 (7 日) 將啟動中國三大電信啟動下市程序後，中國移動 (CHL-US) 週一下跌 5.89%；中國電信 (CHA-US) 下跌 5.38%；中國聯通 (CHU-US) 下跌 3.17%。英國週一正式啟動阿斯特捷利康製藥與牛津大學疫苗的接種計畫，英國於當地時間週一上午開始分配阿斯特捷利康製藥疫苗。阿斯特捷利康製藥 (AZN-US) 上漲 1.34%。阿里巴巴 ADR (BABA-US) 週一持續下跌 2.12% 至每股 227.79 美元，連續兩個交易日收黑。多家外媒報導，阿里巴巴、螞蟻集團創辦人馬雲下落不明，已有將近兩個月沒有公開露面。美國健康保險巨頭 Centene (CNC-US) 週一宣布以 22 億美元價格收購麥哲倫健康公司 (MGLN-US)，助其擴大行動健康平台，預計交易於下半年完成。前者上漲 3.43%，後者暴漲 13.04%。經濟數據華爾街分析華爾街巨鱷、億萬富翁 Carl Icahn 週一受訪時表示：「在我那個年代，我看到過很多瘋狂的反彈，其中有很多股票定價錯誤，但都有一個共同點，最終，他們將碰壁、進入痛苦的重大回調。」投行 Oppeneheimer 首席投資策略師 John Stoltzfus 週一表示，外界多預期分裂的國會，如果民主黨贏得喬治亞州第二輪選舉，標準普爾 500 指數可能會下跌 10%。Chaikin Analytics 首席執行長 Marc Chaikin 表示，基於美國財政部和聯準會協調的財政和貨幣政策，以及新冠肺炎疫苗成功推出這兩大支柱，股市將在 2021 年進一步上漲，儘管這條路會走得有些顛簸。德意志銀行經濟學家 Henry Allen 稱，未來一年，全球經濟面臨的最大問題將是如何快速為人們接種疫苗，尤其是在老年人等弱勢群體，考慮到在英國和南非發現的新變種傳播速度更快，市場可能會密切關注新冠病毒或疫苗推出的任何消息
新冠肺炎,2021-01-05 06:06:00,https://news.cnyes.com/news/id/4556059,上看10億劑！Moderna大幅上調今年疫苗產量 股價大漲逾6%,Moderna (MRNA-US) 週一 (4 日) 宣布上調 2021 年全年疫苗產量，將生產至少 6 億劑新冠肺炎疫苗，目標年底上看 10 億劑，較先前預估產量提高近 2 成，消息傳出後， Moderna 週一股價大漲逾 6%。此前，Moderna 預估今年疫苗產量約為 5 億劑，Moderna 週一發表聲明表示，公司正在「持續投資設備並擴編員工」來生產疫苗，疫苗產量目標至少提高 1 億劑。受此消息激勵，Moderna 週一收盤股價大漲 6.95%，上漲 7.26 美元至 111.73 美元。與此同時，一位重要政府官員曾表示，美國正考慮把 18 歲至 55 歲民眾的 Moderna 疫苗施打劑量減少一半，以增加可用疫苗數量。美國「神速行動」首席科學顧問 Moncef Slaoui 週日在 CBS 表示，證據顯示，只施打 Moderna 疫苗一半劑量的有效性和全劑量相同。Moderna 疫苗目前已通過美國和加拿大的緊急使用權，而歐洲的緊急使用權申請有望在近日內獲得歐洲監管機構批准。Moderna 疫苗迄今為止已向美國提供 1800 萬劑疫苗，大致符合其去年宣布的 2000 萬劑目標。美國已加碼訂購 2 億劑疫苗，並還有額外 3 億劑疫苗的採購權。Moderna 在週一聲明中證實，公司仍期望在第二季尾聲以前達成 2 億劑疫苗的出貨量。Moderna 技術長 Juan Andres 表示， Moderna 早期的供應狀況以及提高 2021 年基準產量的能力，顯示 Moderna 已成功擴大新冠肺炎疫苗的生產
